epoch,train_loss,val_loss,val_log_mse_total,lr,train_Read Latency (ns),val_Read Latency (ns),val_log_mse_Read Latency (ns),train_Write Energy (nJ),val_Write Energy (nJ),val_log_mse_Write Energy (nJ),train_Area (mm^2),val_Area (mm^2),val_log_mse_Area (mm^2),train_Leakage (mW),val_Leakage (mW),val_log_mse_Leakage (mW)
35,0.0690477969877183,0.06929134617860526,0.6241010427474976,0.0009763442295424323,0.157416,0.15778959,0.35907337,0.0870021,0.087301426,0.2008483,0.018160325,0.01841333,0.036857262,0.013612753,0.013661051,0.027322117
36,0.06904828867305013,0.06926732406220662,0.6227824687957764,0.0009746988042341906,0.1574068,0.15785533,0.35849547,0.087004706,0.08732353,0.20048515,0.01816314,0.01826086,0.036542732,0.013618417,0.01362955,0.0272591
37,0.06904009678338742,0.06941900275087841,0.628838062286377,0.0009729995433025168,0.15740281,0.15807784,0.36147785,0.08698462,0.08754213,0.20321965,0.018164357,0.018293306,0.036614977,0.0136086615,0.013762756,0.027525587
38,0.06904557719445632,0.0693664490084732,0.6270166039466858,0.0009712466394607078,0.15740244,0.15786037,0.35926273,0.086994976,0.08755488,0.20361763,0.018161088,0.018341012,0.036717016,0.013623736,0.013709544,0.027419226
39,0.06903934968890993,0.0692916950905247,0.6268350481987,0.0009694402915057065,0.15739113,0.15789382,0.3606411,0.0869883,0.087348714,0.2023215,0.018157294,0.01824221,0.036508176,0.013620499,0.013682084,0.027364243
40,0.06901922949902499,0.06924985905294939,0.6226497888565063,0.0009675807042955567,0.1573709,0.15781176,0.35925835,0.08697305,0.087202735,0.19939369,0.01814047,0.018314313,0.03665642,0.013592446,0.013670643,0.02734133
41,0.06902482323024423,0.06928198315769196,0.6204708814620972,0.0009656680887261692,0.15737398,0.1579072,0.358191,0.08697092,0.087297834,0.19842449,0.018150827,0.018309407,0.03662828,0.013603514,0.01361347,0.02722708
42,0.06901239926090781,0.06933356436329473,0.6176332235336304,0.000963702661707405,0.15734391,0.15795273,0.3556152,0.086963564,0.08735804,0.19796251,0.018144105,0.018296275,0.036601014,0.013597851,0.013727263,0.027454525
43,0.06901467763200263,0.06925236059596317,0.6243765950202942,0.0009616846461384747,0.15732433,0.1578004,0.3594793,0.08696763,0.087343365,0.20114724,0.018161263,0.018266078,0.036550753,0.013605631,0.013599621,0.027199281
44,0.0690201594062293,0.06931012115432895,0.6264477968215942,0.0009596142708826604,0.15736341,0.15796195,0.36106366,0.08696488,0.08728009,0.20136018,0.01815008,0.018273698,0.036574315,0.013602351,0.0137247965,0.02744964
45,0.06900424079501402,0.06939325981458813,0.6288606524467468,0.0009574917707413596,0.15731493,0.15809903,0.3607122,0.086959146,0.08746577,0.20411192,0.018149702,0.018329233,0.03667847,0.013592968,0.0136790285,0.027358081
46,0.06900354889339055,0.06922217935925001,0.6217156052589417,0.0009553173864274567,0.15731165,0.15781833,0.35886392,0.0869599,0.087189965,0.19907661,0.018144978,0.018241964,0.036498155,0.013597687,0.013638455,0.02727691
